episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
182,6,-198.049,15.870,544.272,0.000,0.000,0,collision
183,2,-199.438,13.969,179.012,0.000,0.000,0,collision
184,2,-199.340,14.039,150.998,0.000,0.330,0,collision
185,2,-199.655,12.744,77.769,0.000,0.276,0,collision
186,3,50.708,18.810,241.521,0.000,0.323,1,goal
187,1,50.020,6.782,27.673,0.000,0.000,1,goal
188,1,50.076,6.481,26.322,0.000,0.000,1,goal
189,3,51.028,20.051,285.646,0.000,0.009,1,goal
190,1,-199.663,8.043,50.266,0.000,0.000,0,collision
191,4,-198.120,27.057,399.584,0.000,0.004,0,collision
192,3,-198.940,19.423,252.617,0.000,0.240,0,collision
193,1,-200.003,6.934,28.354,0.000,0.900,0,collision
194,1,0.000,0.000,0.000,0.000,0.000,0,not_found
195,7,-199.910,13.805,535.346,0.000,0.020,0,collision
196,1,49.893,4.932,12.923,0.000,0.000,1,goal
197,2,50.579,12.502,96.169,0.000,0.030,1,goal
198,2,-199.519,13.325,104.617,0.000,0.381,0,collision
199,1,0.000,0.000,0.000,0.000,0.000,0,not_found
200,3,-198.995,19.536,320.596,0.000,0.223,0,collision
201,1,-199.969,5.369,17.782,0.000,0.000,0,collision
202,2,-199.167,14.402,185.478,0.000,0.386,0,collision
203,1,0.000,0.000,0.000,0.000,0.000,0,not_found
204,3,-198.610,20.805,395.135,0.000,0.304,0,collision
205,2,50.714,14.538,203.493,0.000,0.088,1,goal
206,2,-199.270,13.773,161.499,0.000,0.122,0,collision
207,5,-197.108,32.430,545.912,0.000,0.169,0,collision
208,2,50.489,13.198,103.303,0.000,0.027,1,goal
209,8,-201.319,14.425,601.531,0.000,0.086,0,collision
210,3,51.017,20.253,336.105,0.000,0.015,1,goal
211,5,-47.239,32.537,424.030,0.000,0.000,1,goal
212,10,-53.145,12.759,825.711,0.000,0.000,1,goal
213,2,-199.283,14.179,182.141,0.000,0.014,0,collision
214,5,-47.833,32.254,449.926,0.000,0.000,1,goal
215,2,50.301,12.155,72.739,0.000,0.166,1,goal
216,2,-199.904,13.088,102.178,0.000,0.445,0,collision
217,1,50.228,8.819,55.603,0.000,0.000,1,goal
218,3,-198.931,20.291,313.124,0.000,0.009,0,collision
219,2,50.618,13.084,113.700,0.000,0.059,1,goal
220,4,-198.250,25.788,412.078,0.000,0.214,0,collision
221,4,51.514,15.899,421.989,0.010,0.210,1,goal
222,4,51.473,15.633,412.993,0.073,0.191,1,goal
223,3,-198.871,20.153,333.936,0.000,0.373,0,collision
224,1,-200.071,4.362,5.616,0.000,0.000,0,collision
225,1,-200.123,6.109,28.808,0.000,0.000,0,collision
226,3,-199.146,9.766,222.022,0.333,0.418,0,collision
227,1,49.922,1.572,0.783,0.000,0.000,1,goal
228,7,52.493,20.762,793.141,0.000,0.031,1,goal
229,2,50.814,14.603,188.499,0.000,0.000,1,goal
230,1,49.868,5.274,17.432,0.000,0.000,1,goal
231,3,-198.999,19.352,293.892,0.000,0.004,0,collision
232,3,-199.122,20.150,310.231,0.000,0.249,0,collision
233,5,-47.477,32.578,517.499,0.000,0.001,1,goal
234,5,52.898,32.282,542.718,0.000,0.000,1,goal
235,1,0.000,0.000,0.000,0.000,0.000,0,not_found
236,2,50.626,13.826,162.231,0.000,0.000,1,goal
237,1,0.000,0.000,0.000,0.000,0.000,0,not_found
238,1,50.332,8.473,53.220,0.000,0.000,1,goal
239,2,50.439,13.620,132.319,0.000,0.068,1,goal
240,5,-47.204,32.935,615.468,0.000,0.096,1,goal
241,1,49.982,5.194,17.137,0.000,0.000,1,goal
242,3,-199.018,18.841,242.082,0.000,0.122,0,collision
243,2,50.784,14.678,189.626,0.000,0.000,1,goal
244,1,0.000,0.000,0.000,0.000,0.000,0,not_found
245,7,49.811,12.709,518.066,0.000,0.057,1,goal
246,3,50.886,19.513,254.258,0.000,0.013,1,goal
247,1,50.085,7.324,40.261,0.000,0.000,1,goal
248,6,51.492,11.385,529.139,0.085,0.132,1,goal
249,1,50.000,0.000,0.000,0.000,0.000,1,goal
250,1,50.162,8.152,45.272,0.000,0.000,1,goal
